address,booth_number,brands,category,country,description,email,exhibitor_name,exhibitor_url,facebook,fax,hall_location,instagram,linkedin,manufacturers,phone,show_date,show_name,show_website,twitter,website
"KONYA,, Turkey",4423,"PEARL BEIGE SHELLSTONE
PIMA ICE WHITE MARBLE","Stone - Limestone, Stone - Marble, Stone - Mosaic, Stone - Travertine, Tile",,"WELCOME TO PIMA STONE
EXCLUSIVE STONE AND TILES",,PIMA STONE,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=243&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=378819,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.pimastone.com
"CARPINETI,, RE, Italy",1949,Big Slabs by Nuovocorso,"Tile - Ceramic (Glazed), Tile - Countertop, Tile - Floor, Tile - Quarry (Glazed), Tile - Wall",,Come and see our range of 160x320 slabs.,,Nuovocorso SpA,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=227&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=380926,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.nuovocorso.it
"Louisville,, KY, United States",5619,,"Equipment & Machinery - Carving, Equipment & Machinery - CNC Equipment, Equipment & Machinery - Fabricating, Equipment & Machinery - Milling, Equipment & Machinery - Saws, Equipment & Machinery - Water-jet, Equipment & Machinery",,Northwood Machine,,Northwood Machine,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=225&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=380094,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.northwoodstoneworks.com
"Newcastle,, CA, United States",6015,"BlueRipper, BlueRipper Jr.,RedRipper,RedRipper Jr.,BlueRipper Deepcut, EagleEdger Jr., Mini 125, Lockness Vacuum clamp, PitBull StoneShear, PitBull BigDog, UBER Profiling systems.","Equipment & Machinery, Equipment & Machinery - Cutting, Equipment & Machinery - Edging, Equipment & Machinery - Fabricating, Equipment & Machinery - Grinding, Equipment & Machinery - Hand Tools, Equipment & Machinery - Profiling, Equipment & Machinery - Routing, Equipment & Machinery - Saws, Equipment & Supplies",,"See the finest tools in their class, for the stone industry.",,"Omega Diamond, Inc.",https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=231&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=396505,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,www.omegadiamond.com
"Schio,, VI, Italy",5823,"NOAT 
ZONATO 
CERAGIOLI 
DAL FORNO 
TECNOMBM 
FILTERING SYSTEM",Equipment & Machinery,,SPECIALISTS IN MARBLE MACHINE SINCE 45 YEARS.,,Noat,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=223&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=379430,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,
"Sacramento,, CA, Peru",2227,,"Stone, Stone - Cut-to-Size, Stone - Pavers, Stone - Travertine, Tile - Pavers",,,,One Step Peru - Inca Stone,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=232&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=381490,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.inca-stone.com
"Grand Rapids,, MI, United States",4309,,"Allied Products - Tools, Equipment & Machinery - CNC Equipment, Equipment & Machinery - Hand Tools, Equipment & Machinery - Milling, Equipment & Machinery - Polishing, Equipment & Machinery - Profiling, Equipment & Machinery - Routing, Equipment & Machinery - Saws",,"NICOLAI DIAMANT - ""THE YOU ORIENTED COMPANY""",,Nicolai North America,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=221&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=381928,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.nicolai-na.com
"Finike,, Antalya, Turkey",4419,"Onur Classic Limestone,Onur Cloudy Limestone,Juralime Limestone,Ozzy Grey, Yazır Spider Beige, Phellos, Icon Brown","Stone - Cut-to-Size, Stone - Limestone, Stone - Marble, Stone - Slab, Tile",,"We always guarantee the best quality and the best service.
",,Onur Marble Co.,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=233&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=378816,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.onurmarble.com
"Madrid,, Spain",4445,,"Stone - Countertops, Stone - Cut-to-Size, Stone - Fireplace Surrounds/Mantels, Stone - Furniture, Stone - Slab",,"Neolith, manufactured by TheSize, is a market leading Sintered Stone brand offering a high performance architectural surface made of a 100% natural material. Since its establishment in 2009 by the founders with decades of experience in the natural stone industry, Neolith has become the surfacing material choice of a vast range of interior and exterior applications. Composed of over 50 strikingly colored and patterned models, suitable for any sort of application as furniture, kitchen countertops, flooring, cladding and facades.",,Neolith,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=219&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=378840,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.neolith.com
"Exeter,, Devon, United Kingdom",5837,Winchester Tile Company / Living / Core Collection / Mosaics / Glassworks / Artworks / Victorian Floor Tiles / Tileworks / Odyssey / Earthworks /,"Tile - Artisan, Tile - Ceramic (Glazed), Tile - Floor, Tile - Hand Painted, Tile - Wall",,"Original Style, one of the UK's leading tile suppliers.",,Original Style Limited,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=234&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=381323,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.originalstyle.com/us
"Arlington,, VA, United States",2025,,,,,,NAWIC Greater Orlando Chapter 73,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=217&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=396527,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,
"Spring Lake,, MI, United States",2626,"NobleSeal TS, CIS, and SIS; Noble Deck; ValueSeal; Chloraloy;  FreeStyle Linear & Thin-Bed Drains; ProBase; PRO-SLOPE; Noble Niche, Bench, Curb; NobleFlex; NobleBond EXT; NobleBond 21; NobleSealant","Allied Products - Anti-Fracture Membranes, Allied Products - Shower Pans, Allied Products - Sound Abatement Membranes, Allied Products - Waterproofing, Miscellaneous - Bath Accessories",,The Leader in Sheet Membranes and Shower Products,,Noble Company,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=224&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=381707,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.noblecompany.com
"Istanbul,, Istanbul, Turkey",4424,"Naturelmar Myra,Naturelmar Perla, Naturelmar Santa, Anatolian Fiorito, Corintos Bianco","Stone, Stone - Cut-to-Size, Stone - Limestone, Stone - Slab, Stone - Stone Tile",,We hope our lime stones can make your project more enjoyable,,NATURELMAR MINING,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=215&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=378821,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.naturelmar.com
"Escondido,, CA, United States",3934,,Miscellaneous – Software,,Welcome to an intuitively built ERP solution.,,Pacific Solutions,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=235&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=378615,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.pacific-solutions.com
"Onda,, Castellon, Spain",4441,,"Tile - Brick, Tile - Decorative, Tile - Hand Painted, Tile - Porcelain, Tile - Wall",,"NATUCER, NATURAL CERAMICS, LOVE FOR TILES",,Natucer,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=213&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=378835,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.natucer.es
"Jackson,, MS, United States",4030,,Miscellaneous - Trade Association,,"Established in 1947, the National Tile Contractors Association (NTCA) is a nonprofit trade association dedicated to the professional installation of ceramic tile and natural stone. With a membership made up of over 1,500 contractors, NTCA is one of the fastest growing trade associations in the U.S. construction industry. NTCA strives to improve the tile installation trade through education and training, participation in the development of standards and methods, and communication of our initiatives to related trades.",,National Tile Contractors Association (NTCA),https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=212&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=378651,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.tile-assn.com
"Oberlin,, OH, United States",4627,,Miscellaneous - Trade Association,,,,Natural Stone Institute,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=214&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=378916,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,https://www.naturalstoneinstitute.org
"APRICENA (FG),, PUGLIA, Italy",2407,,"Stone - Block, Stone - Cut-to-Size, Stone - Marble, Stone - Pavers, Stone - Slab",,"Ms Marmo Service is a family business from Apulia (south Italy)    specializing in the supply of “APRICENA NATURAL STONE"" known as TRANI STONE: FIORITO, BIANCONE, BRONZETTO, SERPEGGIANTE  to several countries around the world.",,MS MARMO SERVICE SRL,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=210&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=382083,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.marmoservice.com
"Onda,, Castellón, Spain",4645,,"Tile, Tile - Ceramic (Glazed), Tile - Floor, Tile - Porcelain, Tile - Wall",,"Small format ceramic wall tiles and porcelain floor tiles. Great design, quality and hand-made effect, all crafted at attractive prices. No meeting at Coverings in person this year, but please view our video with our proposed stand for Coverings. Our newest collections are Manara Clay and Gabana. We can send you more photos and information upon request. We look forward to hearing from you!",,Nanda Tiles,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=211&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=378930,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,
"Onda,, Castellon, Spain",4241,MONOPOLE CERAMICA; MARITIMA CERAMICS,"Tile - Ceramic (Glazed), Tile - Decorative, Tile - Floor, Tile - Porcelain, Tile - Wall",,Be different. Be Monopole.,,Monopole Ceramica,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=208&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=378746,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.monopoleceramica.com
"Monterrey,, Nuevo Leon, Mexico",2022,,Tile - Cement,,Artisian Hand Made Cement tiles from Mexico,,"Mosaicos Terra, S.A. de C.V.",https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=209&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=382019,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.mosaicosterra.net
"cairo,, Egypt",1932,,"Stone - Cut-to-Size, Stone - Granite, Stone - Limestone, Stone - Marble, Stone - Sculpture",,,,Modern Marble,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=206&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=381655,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.modernmarble.com
"Juarez,, Nuevo Leon, Mexico",3045,"Kuartz Surfaces, Modular Vanity Tops, Shower Walls and Modul Woods","Stone - Countertops, Stone - Sinks, Stone - Slab, Tile - Trims, Tile - Wall",,"Group of companies of Tops, Quartz Slabs, Shower Walls.",,Modular Vanity Tops,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=207&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=381959,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://kuartzsurfaces.com
"VILLAFAMES,, Castellón/Castelló, Spain",4646,NEW TILES,"Tile, Tile - Ceramic (Glazed), Tile - Floor, Tile - Porcelain",,,,New Tiles,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=220&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=378931,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.new-tiles.com
"AFYONKARAHISAR,, Turkey",4223,,"Stone - Cut-to-Size, Stone - Pavers, Stone - Slab, Stone - Stone Tile, Stone - Tumbled",,Wellcome to our stand to see our tile and slab collection.,,MODAMAR MARBLE,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=205&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=378729,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://WWW.MODAMARMARBLE.COM
"Mumbai,, Maharastra, India",1030,"Tiles, Marble, Natural Stone","Stone - Marble, Tile - Ceramic (Glazed), Tile - Floor, Tile - Mosaic, Tile - Wall",,"Welcome to NITCO, India’s preferred surface design expert!",,NITCO Ltd. ( INDIA ),https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=222&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=381420,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.nitco.in
"Anaheim,, CA, United States",3424,,"Allied Products - Underlayment, Allied Products - Waterproofing, Allied Products - Grout, Allied Products - Joint Sealants, Allied Products - Mortars",,,,Merkrete,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=203&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=381249,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.merkrete.com
"Coriano,, RN, Italy",5112,,,,Visit us to see the best & latest technologies & equipment!,,NUOVA MONDIAL MEC SRL,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=226&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=382092,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,
"High Point,, NC, United States",4412,Matec - Alfa Pompe,"Equipment & Machinery, Equipment & Machinery - Wastewater Treatment, Equipment & Supplies",,Come to discover the best solution for your needs.,,"Matec America, Inc.",https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=199&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=381916,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.matecamerica.com
"Carlsbad,, CA, United States",6036,"Oceanside Glass & Tile, Oceancare","Tile - Glass, Tile - Mosaic, Tile - Swimming Pool, Tile, Miscellaneous – Sustainable Products",,Bringing joy to your journey one glass tile at a time.,,Oceanside Glass & Tile,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=228&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=381151,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.glasstile.com
"Santo Domingo,, Dominican Republic",430,,"Stone - Block, Stone - Columns, Stone - Cut-to-Size, Stone - Fireplace Surrounds/Mantels, Stone - Limestone, Stone - Marble, Stone - Moldings, Stone - Mosaic, Stone - Slab, Stone - Travertine",,"Marmotech over 20 years of experience and is the leading firm extracting, cutting, polishing and distributing dimensioned stones in the Caribbean. We operate seven quarries of Coral Stone, Portoro, Travertine, Marble and Limestone, using the latest European technology, which guarantees precision cuts and designs produced by CAD-driven machines. Our design team of architects who specialize in CAD/CAM technologies use computers with 2D and 3D technology for high precision and efficient productivity. We produce tiles, slabs, blocks, pool copings, steps, columns, moldings, mosaics, fireplace surrounds and balustrades. We export to countries worldwide.",,"Marmotech, S.A.",https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=198&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=379868,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.marmotech.com.do
"Negrais,, Portugal",1526,,"Tile - Floor, Tile - Decorative, Stone - Sinks, Stone - Steps, Stone - Stone Tile, Stone - Countertops, Stone - Sills, Stone - Cut-to-Size, Stone - Limestone, Stone - Marble",,Thank you for visiting Marmocazi's booth!,,"Marmocazi, Lda.",https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=196&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=381723,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.marmocazi.com
"Pontiac,, MI, United States",5212,MARMO MECCANICA NA,"Equipment & Machinery - Chamfering, Equipment & Machinery - Edging, Equipment & Machinery - Polishing, Equipment & Machinery - Profiling, Equipment & Machinery - Saws",,"North America Sales Division
Steve Collick ph 2488539000 
",,Marmo Meccanica NA,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=195&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=382130,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.marmo-na.com
"Onda,, Castellon, Spain",4236,NAVARTI,"Tile, Tile - Ceramic (Glazed), Tile - Floor, Tile - Porcelain, Tile - Wall",,WELCOME TO NAVARTI,,Navarti Ceramica,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=216&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=378743,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.navarti.com
"Doral,, FL, United States",6029,,"Tile - Ceramic (Glazed), Tile - Countertop, Tile - Floor, Tile - Porcelain, Tile - Wall",,Italian Design & Craftsmanship - Made in the USA,,Mediterranea,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=201&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=381975,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.mediterranea-usa.com
"Las Vegas,, NV, United States",4411,"Nemo Power Tools
Grabo","Equipment & Machinery - Flooring Equipment, Equipment & Machinery - Hand Tools, Miscellaneous - Material Handling Equipment, Stone, Tile",,"Designed for stone and tile crafters, Grabo (www.Grabo.com) is a patented handheld full powered, vacuum-assisted lifter designed to reduce physical exertion, minimize workload and to safely lift and handle construction materials. It can lift up to 375lbs (170kg) and grab almost almost any material surface whether wet, dry or porous. For heavy lifting jobs,  2 Grabo units can be used in tandem with lifting straps (provided).  ",,Nemo Power Tools,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=218&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=381932,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.Grabo.com
"Fairfax,, VA, United States",6032,,"Stone - Granite, Stone - Marble, Tile - Floor, Tile - Mosaic, Tile - Stone",,Turning Nature's Vision Into Stunning Reality...,,Marble Systems,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=193&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=379515,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.marblesystems.com
"HARYANA,, HR, India",1722,,,,,,MEHTA STONE EXPORT HOUSE,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=202&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=381837,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,www.decorcera.com
"Rignano Flaminio,, Rome, Italy",5014,Frangistone - EHS - Razorstone - Longlife - Hyper Z - Master 3500,"Equipment & Machinery - CNC Equipment, Equipment & Machinery - Diamond Blades & Saws, Equipment & Machinery - Hand Tools, Equipment & Machinery - Polishing, Equipment & Machinery - Profiling",,Welcome to MEM - Operated by Aramsco Inc. in the US,,Marmoelettromeccanica,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=197&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=382089,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.marmoelettro.it
"Canton,, OH, United States",2950,"QUARRYBASICS®
Somerset™
Down to Earth®
Metro Tread®
QUARRYBASICS® XA Abrasive
Royal Thin Brick®

METROBRICK®","Tile, Tile - Brick, Tile - Ceramic (Unglazed), Tile - Floor, Tile - Quarry (Unglazed)",,Metropolitan Ceramics® - Unglazed Ceramic Quarry Tile,,Metropolitan Ceramics,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=204&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=378269,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.metroceramics.com
"Villarreal,, Castellon, Spain",5128,Porcelain decos and distressed lines in 6x12,"Tile, Tile - Ceramic (Glazed), Tile - Decorative, Tile - Porcelain, Tile - Wall",,MAINZU S.L. Factory since 1964 -,,Mainzu,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=189&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=379135,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.mainzu.com
"Dallas,, TX, United States",5844,Marazzi and American Olean,"Tile - Ceramic (Glazed), Tile - Decorative, Tile - Floor, Tile - Mosaic, Tile - Porcelain",,Please visit Marazzi/American Olean in booth #3523.,,Marazzi/American Olean/Ragno,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=192&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=381623,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,https://www.Marazzitile.com
"Deerfield Beach,, FL, United States",2827,,"Allied Products - Additives, Allied Products - Grout, Allied Products - Mortars, Allied Products - Waterproofing",,"Installation Solutions for Tile, Stone and Floor Coverings",,MAPEI,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=191&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=381845,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.mapei.com
"Carpenedolo (BS),, Lombardia, Italy",2411,"G1938 - Italian Stone Maestro 
Ghirardi Italian Stone Contractor","Miscellaneous - Consulting Services, Stone - Cut-to-Size, Stone - Granite, Stone - Limestone, Stone - Marble",, is Italy's ,,Marmi Ghirardi Srl,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=194&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=382085,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.ghirardi.it
"Marietta,, GA, United States",3737,"Litokol, Starlike®, The Tile Doctor, Tile Doctor Shield, Grout Admix, Crystal Glass Grout®, ZHERORisk®","Allied Products - Additives, Allied Products - Grout, Allied Products - Sealers, Allied Products - Waterproofing, Tile",,LITOKOL/Tile Doctor Starlike® tile and ZHERORisk® products,,LITOKOL / The Tile Doctor,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=185&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=396359,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.thetiledoctor.com
"Motta di Livenza (TV),, Italy",5013,MD DARIO,"Equipment & Machinery, Equipment & Machinery - Cutting, Equipment & Machinery - Diamond Blades & Saws, Equipment & Machinery - Milling, Equipment & Machinery - Polishing, Equipment & Machinery - Saws",,"VISIT OUR STAND, MD DARIO is present nowadays worldwide!",,MD DARIO SRL,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=200&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=382088,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.md-dario.com/en
"Miami,, FL, United States",3030,"The DAKOTA G2 LED Light Panel series is the new innovative light source. It is slim,  can be applied in all types of markets to backlit stone, onyx, quartz, and translucent stone.","Miscellaneous, Miscellaneous - Display Systems",,LUMIRON LED Lights since 2001 In Miami. Made in the USA,,Lumiron,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=187&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=396153,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.lumiron.com
"New Delhi,, Delhi, India",3815,"Malbros is a well-known brand in the stone industry all over the world for over 3 decades, for their superior quality products at the most competitive prices and on-time delivery of shipments.","Stone - Countertops, Stone - Quartzite, Stone - Sandstone, Stone - Slab, Stone - Slate",,"Malbros-India, largest producers of natural stone tiles",,Malbros Impex Pvt. Ltd.,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=190&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=381884,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.malbros.com
"Grezzana,, Verona, Italy",2307,"La Ponte Marmi, Pura Slabs","Stone - Quartzite, Stone - Onyx, Stone - Cut-to-Size, Stone - Granite, Stone - Marble",,Welcome to our Booth #2949,,LA PONTE MARMI MARBLE AND GRANITE,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=179&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=382075,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.laponte.it
"Arlington,, VA, United States",3022,,,,,,Live Installation Demo Stage (3022),https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=186&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=381799,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,
"Romeoville,, IL, United States",5424,"LT-2D3D Laser Templator, TemplatePro","Equipment & Machinery - Fabricating, Equipment & Supplies, Miscellaneous - Measuring Devices, Miscellaneous – Software",,The Leader in Digital Fabrication Solutions welcomes you!,,Laser Products Industries,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=181&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=379267,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.laserproductsus.com
"Cascais,, Portugal",1627,,"Stone - Columns, Stone - Cut-to-Size, Stone - Limestone, Stone - Marble, Stone - Slab",,,,Magratex Ltda.,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=188&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=381740,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.magratex.pt
"Moncofar,, Castellon, Spain",5448,"KTL , S.L","Tile - Ceramic (Glazed), Tile - Floor, Tile - Mosaic, Tile - Porcelain, Tile - Wall",,We are waiting for you at sbooth 5448,,"KTL CERAMICA,S.L",https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=177&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=379289,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.keratile.es
"Dalton,, GA, United States",2126,,,,,,Legendary Floors,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=184&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=381246,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,www.legendaryfloors.us
"DORAL,, FL, United States",5430,"Kertiles, Euroker, Kerdecora",,,,,Kertiles LLC,https://expo.coverings.com/Cov2021/Public/eBooth.aspx?IndexInList=175&FromPage=Exhibitors.aspx&ParentBoothID=&ListByBooth=true&BoothID=379274,,,,,,,,07/07/2021,Coverings,https://www.coverings.com/,,http://www.kertiles.com
